"","x"
"309","Synpo2l"
"310","Dlg5"
"311","Wdhd1"
"312","3632451O06Rik"
"313","Jub"
"314","Acin1"
"315","Slc22a17"
"316","Myh7"
"317","Gm17588"
"318","Esco2"
"319","RP23-358B23.3"
"320","Cdca2"
"321","Diap3"
"322","Spry2"
"323","Adamts12"
"324","Sema5a"
"325","Pgcp"
"326","Zfpm2"
"327","Nov"
"328","Col14a1"
"329","Sqle"
"330","Nsmce2"
"331","Myc"
"332","Wisp1"
"333","Pdxp,Sh3bp1"
"334","H1f0"
"335","Apobec3"
"336","Srebf2"
"337","Atxn10"
"338","Gm4825"
"339","Troap"
"340","Spats2"
"341","Krt7"
"342","Espl1"
"343","Hnrnpa1"
"344","Slc1a3"
"345","Skp2"
"346","Rai14"
"347","Basp1"
"348","Stk3"
"349","Pabpc1"
"350","Ywhaz"
"351","Azin1"
"352","Csmd3"
"353","Sntb1"
"354","Atad2"
"355","Mtss1"
"356","Tmem71"
"357","Arhgap39"
"358","C1qtnf6"
"359","Cbx6,Npcd,Nptxr"
"360","Rpl3"
"361","Mkl1"
"362","Celsr1"
"363","Prickle1"
"364","Slc38a1"
"365","Slc38a4"
"366","Vdr"
"367","Tuba1a"
"368","Nckap5l"
"369","Racgap1"
"370","Ppp1r1a"
"371","Snx29"
"372","Ypel1"
"373","Hic2"
"374","Cldn5"
"375","Yeats2"
"376","Lpp"
"377","Tnk2"
"378","Ptplb"
"379","Gm10237"
"380","Stfa2l1"
"381","Fstl1"
"382","C330027C09Rik"
"383","Dcbld2"
"384","Robo1"
"385","Hunk"
"386","Chaf1b"
"387","Mcm4"
"388","Igf2bp2"
"389","Tmem44"
"390","Gtf2e1"
"391","Phldb2"
"392","Alcam"
"393","Robo2"
"394","Kcne1"
"395","Ncrna00085"
"396","Dcpp1,Dcpp2"
"397","Neurl1b"
"398","Syngap1"
"399","Rdbp"
"400","Clic1"
"401","Ddah2"
"402","Cchcr1"
"403","Zfp57"
"404","Cyp39a1"
"405","Supt3h"
"406","Trerf1"
"407","Mrps10"
"408","Uhrf1"
"409","Epb4.1l3"
"410","Gm6476"
"411","Eml4"
"412","Prkce"
"413","Ston1"
"414","Ezr"
"415","Igf2r"
"416","Hn1l"
"417","Cacna1h"
"418","Stub1"
"419","Tulp1"
"420","Cpne5"
"421","Angptl4"
"422","Kifc1"
"423","1110038B12Rik,AC087117.1,AC087117.2,Snord52"
"424","Gm18733"
"425","Tcf19"
"426","Ddr1"
"427","Tubb5"
"428","Gm10499"
"429","AY036118"
"430","Mdfi"
"431","Nfya"
"432","Daam2"
"433","Khsrp"
"434","Fbxl17"
"435","Arhgap28"
"436","Strn"
"437","Gm6548"
"438","Slc8a1"
"439","Six2"
"440","Fzd8"
"441","Gata6"
"442","Pcdhga9"
"443","Commd10"
"444","Lmnb1"
"445","Adamts19"
"446","Pde6a"
"447","Spink10"
"448","Nedd4l"
"449","Impa2"
"450","D18Ertd653e"
"451","Zfp521"
"452","Stard4"
"453","D0H4S114"
"454","AC133646.1"
"455","Prelid2"
"456","Dpysl3"
"457","Sema6a"
"458","Lox"
"459","Ppic"
"460","Zfp608"
"461","March3"
"462","Fbn2"
"463","Fam38b"
"464","Katnal2"
"465","Cpt1a"
"466","Cfl1"
"467","SNORD25,SNORD26,SNORD27,SNORD28,SNORD29,SNORD30,SNORD31,Snhg1,Snord22"
"468","Tmem2"
"469","Kif20b"
"470","Kif11"
"471","Cep55"
"472","Hells"
"473","Entpd1"
"474","Scd3"
"475","Scd2"
"476","Scd4"
"477","Sfxn2"
"478","Vti1a"
"479","Tcf7l2"
"480","Cox8a"
"481","Incenp"
"482","Psat1"
"483","Rorb"
"484","Arhgap19"
"485","Afap1l2"
"486","Fam107b"
"487","Sephs1"
"488","Ccdc3"
"489","Gm10852"
"490","Vim"
"491","2010317E24Rik"
"492","Gm13421"
"493","Col5a1"
"494","Med27"
"495","Ncs1"
"496","Fubp3"
"497","Lass6"
"498","Dcaf17"
"499","Cdca7"
"500","Arhgap1"
"501","Phf21a"
"502","Gm13804"
"503","Mpped2"
"504","Ccdc34"
"505","BC052040"
"506","Thbs1"
"507","Bub1b"
"508","D2Ertd750e"
"509","Casc5"
"510","Rad51"
"511","Zfyve19"
"512","Nusap1"
"513","Casc4"
"514","Ctdspl2"
"515","Bcl2l11"
"516","Dstn"
"517","Rem1"
"518","Tpx2"
"519","Myh7b"
"520","Myl9"
"521","Tgif2"
"522","Manbal"
"523","Src"
"524","Mybl2"
"525","Ube2c"
"526","Gm11462"
"527","Mcm10"
"528","Camk1d"
"529","Itga8"
"530","Gm13321"
"531","Rsu1"
"532","Ehmt1"
"533","Brd3"
"534","Gm13371"
"535","Stxbp1"
"536","Zbtb34"
"537","Pbx3"
"538","Dennd1a"
"539","Gtdc1"
"540","Gm13508"
"541","Rnd3"
"542","Gm14034"
"543","5330411J11Rik"
"544","Stk39"
"545","Spc25"
"546","Cwc22"
"547","Ctnnd1"
"548","Mdk"
"549","Tspan18"
"550","Prr5l"
"551","Trim44"
"552","Prrg4"
"553","Arhgap11a"
"554","Atpbd4"
"555","Meis2"
"556","Bmf"
"557","Gm1337"
"558","Shf"
"559","Myef2"
"560","Ncaph"
"561","Ckap2l"
"562","Sox12"
"563","Zcchc3"
"564","Plagl2"
"565","8430427H17Rik"
"566","E2f1"
"567","Dsn1"
"568","9830001H06Rik"
"569","Rbl1"
"570","Gm5270"
"571","Ptprt"
"572","Matn4"
"573","Aurka"
"574","Bmp7"
"575","Ctcfl"
"576","Ppp4r1l-ps"
"577","Rps24-ps2"
"578","Fabp5"
"579","Trim55"
"580","Pld1"
"581","Eif5a2"
"582","Plk4"
"583","Postn"
"584","Rsrc1"
"585","Smc4"
"586","Fam198b"
"587","Mex3a"
"588","Ssr2"
"589","Arhgef2"
"590","Tpm3"
"591","Sv2a"
"592","Txnip"
"593","Gja5"
"594","Hmgcs2"
"595","Igsf3"
"596","Tspan2"
"597","Sort1"
"598","Psrc1"
"599","Vav3"
"600","Col11a1"
"601","Cnn3"
"602","Gm9372"
"603","4930422G04Rik"
"604","Pitx2"
"605","Elovl6"
"606","Cenpe"
"607","Lpar3"
"608","Mrps28"
"609","Tpd52"
"610","Zfp704"
"611","Pag1"
"612","Ect2"
"613","Zmat3"
"614","Gnb4"
"615","Ccna2"
"616","Bbs7"
"617","Pcdh18"
"618","Maml3"
"619","Nbea"
"620","Trim59"
"621","Gucy1a3"
"622","Cd1d1"
"623","Cks1b"
"624","Atp8b2"
"625","Ttf2"
"626","Ptgfrn"
"627","Slc6a17"
"628","Ptbp2"
"629","Fnbp1l"
"630","Gar1"
"631","Hs2st1"
"632","Clca1"
"633","St6galnac3"
"634","Lyn"
"635","Runx1t1"
"636","6230409E13Rik"
"637","Mms22l"
"638","Epha7"
"639","Bach2"
"640","Unc13b"
"641","Glipr2"
"642","Melk"
"643","Aldh1b1"
"644","Tmeff1"
"645","Smc2"
"646","Ugcg"
"647","Zfp618"
"648","Adamtsl1"
"649","Fggy"
"650","Ror1"
"651","Cachd1"
"652","Dnajc6"
"653","Dhcr24"
"654","Ssbp3"
"655","Zcchc11"
"656","Stil"
"657","Gm12901"
"658","Grik3"
"659","Clspn"
"660","Sfpq"
"661","Marcksl1"
"662","Stmn1"
"663","Mfap2"
"664","Casz1"
"665","Tnfrsf9"
"666","Gpr153"
"667","Megf6"
"668","9430015G10Rik"
"669","Gm11806"
"670","Tox"
"671","Gm11810"
"672","Gm12754"
"673","Fancg"
"674","E130306D19Rik"
"675","Tpm2"
"676","Rpl17-ps4"
"677","Tnc"
"678","Astn2"
"679","Gm11223"
"680","Ptprd"
"681","Gm12913"
"682","Frem1"
"683","Slc24a2"
"684","Dock7"
"685","Rad54l"
"686","Nasp"
"687","Kif2c"
"688","B4galt2,Ccdc24"
"689","Ptprf"
"690","Cdca8"
"691","Gm13215"
"692","Atpif1"
"693","Hmgn2"
"694","Kazn"
"695","Gm13157"
"696","Cort"
"697","Apitd1"
"698","Rnf207"
"699","Prdm16"
"700","Agrn"
"701","Cdk6"
"702","Sri"
"703","Chpf2"
"704","Insig1"
"705","Ywhah"
"706","Tacc3"
"707","Whsc1"
"708","Jakmip1"
"709","Slit2"
"710","Pi4k2b"
"711","Tbc1d1"
"712","N4bp2"
"713","Uchl1"
"714","Srd5a3"
"715","C530008M17Rik,Gm10430"
"716","Rest"
"717","Lphn3"
"718","Sept11"
"719","Fras1"
"720","Ptpn13"
"721","Spp1"
"722","Cdc7"
"723","Pole"
"724","Gm13824,Gm13825"
"725","Msi1"
"726","Cit"
"727","Cct6a"
"728","Sdk1"
"729","Fscn1"
"730","Cyth3"
"731","Pan3"
"732","Cyp51"
"733","Cdk14"
"734","Dbf4"
"735","Gnai1"
"736","Prkag2"
"737","Tyms"
"738","Spon2"
"739","Sorcs2"
"740","Ldb2"
"741","Bend4"
"742","Usp46"
"743","Adamts3"
"744","Hnrnpd"
"745","Evi5"
"746","2900026A02Rik"
"747","Coro1c"
"748","Dynll1"
"749","Vps37b"
"750","Scarb1"
"751","Eln"
"752","Emid2"
"753","Mcm7"
"754","Gal3st4,Gpc2"
"755","Mad1l1"
"756","Ttyh3"
"757","Tnrc18"
"758","Hmgb1"
"759","Col1a2"
"760","Peg10"
"761","Ppp1r9a"
"762","Asb4"
"763","Foxp2"
"764","Snd1"
"765","Ccdc136"
"766","Cpa1"
"767","Mest"
"768","Exoc4"
"769","Cald1"
"770","Casp2"
"771","Nfe2l3"
"772","Cbx3"
"773","Creb5"
"774","Abcg2"
"775","Mad2l1"
"776","Serbp1"
"777","Bmp10"
"778","Fancd2"
"779","Atg7"
"780","Cdca3"
"781","4933413G19Rik,Foxm1"
"782","Cdkn1b"
"783","Apold1"
"784","8430419L09Rik"
"785","Emp1"
